"","x"
"1599",2
"1600",19
"1601",20
"1602",25
"1603",25
"1604",25
"1605",3
"1606",25
"1607",25
"1608",25
"1609",25
"1610",25
"1611",25
"1612",2
"1613",19
"1614",3
"1615",10
"1616",24
"1617",24
"1618",17
"1619",2
"1620",3
"1621",21
"1622",2
"1623",24
"1624",12
"1625",10
"1626",8
"1627",14
"1628",2
"1629",3
"1630",25
"1631",19
"1632",6
"1633",2
"1634",25
"1635",1
"1636",24
"1637",25
"1638",2
"1639",24
"1640",1
"1641",8
"1642",22
"1643",25
"1644",2
"1645",23
"1646",2
"1647",25
"1648",2
"1649",25
"1650",25
"1651",12
"1652",2
"1653",1
"1654",18
"1655",17
"1656",2
"1657",2
"1658",6
"1659",25
"1660",1
"1661",17
"1662",2
"1663",21
"1664",4
"1665",25
"1666",3
"1667",1
"1668",12
"1669",25
"1670",3
"1671",25
"1672",25
"1673",25
"1674",1
"1675",12
"1676",1
"1677",14
"1678",24
"1679",21
"1680",25
"1681",25
"1682",19
"1683",24
"1684",2
"1685",2
"1686",2
"1687",2
"1688",2
"1689",25
"1690",25
"1691",17
"1692",25
"1693",21
"1694",24
"1695",14
"1696",3
"1697",3
"1698",16
"1699",25
"1700",25
"1701",25
"1702",3
"1703",25
"1704",25
"1705",17
"1706",3
"1707",24
"1708",14
"1709",25
"1710",25
"1711",22
"1712",25
"1713",24
"1714",25
"1715",19
"1716",2
"1717",25
"1718",20
"1719",14
"1720",2
"1721",15
"1722",21
"1723",4
"1724",25
"1725",19
"1726",20
"1727",20
"1728",25
"1729",3
"1730",2
"1731",2
"1732",1
"1733",3
"1734",11
"1735",3
"1736",24
"1737",24
"1738",3
"1739",8
"1740",20
"1741",3
"1742",2
"1743",24
"1744",13
"1745",8
"1746",20
"1747",25
"1748",25
"1749",25
"1750",25
"1751",2
"1752",20
"1753",24
"1754",25
"1755",25
"1756",2
"1757",25
"1758",25
"1759",3
"1760",1
"1761",25
"1762",21
"1763",2
"1764",2
"1765",2
"1766",25
"1767",1
"1768",1
"1769",15
"1770",1
"1771",3
"1772",24
"1773",22
"1774",25
"1775",25
"1776",25
"1777",2
"1778",2
"1779",25
"1780",25
"1781",3
"1782",10
"1783",22
"1784",25
"1785",15
"1786",1
"1787",20
"1788",2
"1789",2
"1790",24
"1791",14
"1792",25
"1793",2
"1794",25
"1795",2
"1796",25
"1797",2
"1798",20
"1799",25
"1800",2
"1801",15
"1802",3
"1803",6
"1804",16
"1805",3
"1806",22
"1807",15
"1808",19
"1809",25
"1810",2
"1811",25
"1812",3
"1813",3
"1814",25
"1815",3
"1816",10
