"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"482",17,17,8,4,4
"483",2,22,23,16,9
"484",4,6,6,7,8
"485",12,1,1,1,6
"486",2,4,4,4,25
"487",18,18,18,18,22
"488",2,6,16,12,9
"489",18,14,23,22,6
"490",16,16,14,19,14
"491",3,8,1,25,21
"492",20,22,3,4,5
"493",9,8,17,22,22
"494",18,15,17,25,6
"495",20,4,6,22,24
"496",2,10,10,11,21
"497",3,3,14,23,11
"498",20,23,23,3,24
"499",18,21,7,12,4
"500",4,6,11,3,14
"501",2,5,4,3,21
"502",3,5,5,9,3
"503",16,16,16,20,19
"504",20,5,20,22,6
"505",18,14,20,5,20
"506",2,4,4,13,6
"507",2,3,3,10,9
"508",15,17,17,9,24
"509",18,5,14,23,5
"510",3,3,22,9,16
"511",18,19,14,1,3
"512",18,8,9,15,5
"513",2,10,10,3,10
"514",2,15,14,10,6
"515",25,25,25,24,10
"516",2,11,15,3,6
"517",7,16,20,20,22
"518",2,5,6,3,1
"519",15,12,17,13,5
"520",3,3,3,16,3
"521",2,4,4,7,25
"522",2,9,9,1,10
"523",2,6,2,15,4
"524",7,20,20,23,10
"525",9,11,9,22,21
"526",3,3,3,25,12
"527",9,23,14,9,12
"528",2,3,3,6,9
"529",15,17,17,21,4
"530",20,23,14,21,8
"531",7,16,10,22,2
"532",18,19,11,20,6
"533",2,20,20,23,3
"534",2,2,10,23,22
"535",18,13,14,19,24
"536",18,11,6,15,8
"537",2,2,10,5,3
"538",9,3,20,8,23
"539",1,1,4,6,17
"540",9,6,4,16,1
"541",7,23,24,8,11
"542",2,10,6,9,8
"543",2,20,23,5,21
"544",9,22,4,23,15
"545",18,18,9,23,3
"546",25,25,20,19,1
"547",2,22,20,20,4
"548",21,23,23,11,23
"549",12,12,12,21,14
"550",20,13,14,1,10
"551",18,17,9,9,9
"552",2,4,4,25,3
"553",18,11,9,11,3
"554",2,5,5,4,12
"555",20,23,23,8,14
"556",9,6,8,13,22
"557",18,5,9,16,17
"558",2,16,16,9,10
"559",10,10,16,2,5
"560",2,24,8,20,20
"561",2,14,14,21,2
"562",20,23,22,11,24
"563",2,9,21,20,9
"564",2,21,21,19,8
"565",2,4,3,3,15
"566",18,23,22,18,6
"567",18,23,8,20,16
"568",20,14,16,3,3
"569",2,14,22,4,5
"570",2,23,20,1,2
"571",7,21,21,3,6
"572",20,14,22,18,16
"573",2,16,16,5,22
"574",9,1,4,3,20
"575",18,16,16,24,9
"576",2,15,20,5,25
"577",9,9,20,3,14
"578",2,3,3,11,10
"579",2,10,14,20,8
"580",4,4,4,19,1
"581",15,15,17,10,13
"582",9,6,9,4,6
"583",3,3,3,16,3
"584",20,13,23,14,14
"585",2,22,20,25,1
"586",7,16,4,11,14
"587",21,3,3,17,6
"588",18,8,8,3,8
"589",21,21,16,21,1
"590",2,20,23,9,24
"591",7,7,16,11,11
"592",21,22,20,7,14
"593",3,3,3,22,18
"594",3,3,3,21,15
"595",2,20,4,25,4
"596",2,3,16,14,14
"597",25,3,3,20,23
"598",2,16,16,2,14
"599",2,2,9,7,17
"600",7,23,20,21,3
"601",9,14,14,24,9
"602",2,6,4,17,3
"603",18,6,10,12,11
"604",18,1,1,15,10
"605",20,24,20,22,3
"606",2,4,6,20,19
"607",2,3,3,22,3
"608",2,23,23,18,16
"609",2,4,6,17,4
"610",12,1,8,20,14
"611",18,18,11,14,21
"612",3,3,3,11,2
"613",2,2,2,20,2
"614",2,13,24,12,24
"615",2,20,20,1,15
"616",20,20,20,14,16
"617",18,12,1,4,23
"618",2,20,20,4,12
"619",20,14,14,8,20
"620",15,17,17,7,6
"621",2,17,17,23,22
"622",2,16,2,23,14
"623",2,6,6,23,17
"624",2,8,8,2,3
"625",2,24,14,24,13
"626",10,10,3,3,8
"627",10,3,3,21,12
"628",15,24,9,20,14
"629",2,6,4,13,16
"630",2,20,14,2,9
"631",14,14,16,24,4
"632",20,3,3,24,6
"633",2,5,5,3,19
"634",12,1,8,4,1
"635",18,17,20,4,6
"636",2,7,2,20,15
"637",1,1,11,20,17
"638",2,25,16,7,15
"639",17,17,17,15,12
"640",7,14,14,1,3
"641",9,14,14,7,10
"642",9,12,17,10,3
"643",2,10,24,22,5
